"run","tick","PersonID","OutDegree","MyNumofDealer","MoneySpendinLastNdays","TaxCollectedinLastNdays","TaxPaidinLastNdays","UnitsPurchasedinLastNdays","DrugConsumedinLastNdays","BrokerageinLastNdays","BuythroughBrokerinLastNdays","CumBrokerageDone","CumBuythroughBroker","CumlPricePaidPer12UnitsWithoutTax","CumlPricePaidPer12UnitWithTax","MoneySpentfromNormalAccountinLastNdays","CurTaxAccount","ActualPricePaidPer12UnitsinLastNdays"
1,48.0,373,10,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,396,9,1.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0,120.0
1,48.0,123,8,0.0,120.0,0.0,20.0,12.0,11.5,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,351,6,0.0,120.0,0.0,20.0,12.0,11.25,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,314,9,0.0,120.0,0.0,20.0,12.0,7.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,394,10,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,432,15,3.0,120.0,20.0,0.0,12.0,12.0,1.0,0.0,1.0,0.0,120.0,100.0,100.0,0.0,100.0
1,48.0,447,8,1.0,120.0,40.0,0.0,12.0,12.0,2.0,0.0,2.0,0.0,120.0,80.0,80.0,0.0,80.0
1,48.0,412,13,0.0,120.0,0.0,20.0,12.0,10.75,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,161,6,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,48.0,29,5,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,472,6,0.0,120.0,0.0,20.0,12.0,9.5,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,245,12,1.0,120.0,100.0,0.0,12.0,12.0,5.0,0.0,5.0,0.0,120.0,20.0,20.0,0.0,20.0
1,48.0,428,6,0.0,120.0,0.0,20.0,12.0,11.5,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,48.0,203,3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,48.0,47,5,2.0,120.0,40.0,0.0,12.0,12.0,2.0,0.0,2.0,0.0,120.0,80.0,80.0,0.0,80.0
1,48.0,134,12,2.0,120.0,60.0,0.0,12.0,12.0,3.0,0.0,3.0,0.0,120.0,60.0,60.0,0.0,60.0
1,48.0,52,4,1.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0,120.0
1,48.0,352,3,1.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0,120.0
1,48.0,361,12,0.0,120.0,0.0,20.0,12.0,10.75,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
