"run","tick","PersonID","OutDegree","MyNumofDealer","MoneySpendinLastNdays","TaxCollectedinLastNdays","TaxPaidinLastNdays","UnitsPurchasedinLastNdays","DrugConsumedinLastNdays","BrokerageinLastNdays","BuythroughBrokerinLastNdays","CumBrokerageDone","CumBuythroughBroker","CumlPricePaidPer12UnitsWithoutTax","CumlPricePaidPer12UnitWithTax","MoneySpentfromNormalAccountinLastNdays","CurTaxAccount","ActualPricePaidPer12UnitsinLastNdays"
1,96.0,73,8,0.0,120.0,0.0,20.0,12.0,11.5,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,379,8,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,146,14,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,408,6,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,345,5,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,74,8,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,119,5,1.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,120.0,130.0,120.0,0.0,120.0
1,96.0,356,7,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,234,5,4.0,120.0,20.0,0.0,12.0,12.0,1.0,0.0,3.0,0.0,120.0,90.0,100.0,0.0,100.0
1,96.0,451,7,1.0,120.0,60.0,0.0,12.0,12.0,3.0,0.0,6.0,0.0,120.0,60.0,60.0,0.0,60.0
1,96.0,329,11,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,409,9,4.0,120.0,60.0,0.0,12.0,12.0,3.0,0.0,4.0,0.0,120.0,80.0,60.0,0.0,60.0
1,96.0,478,8,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,381,15,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,75,4,0.0,120.0,0.0,20.0,12.0,10.75,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,69,4,1.0,120.0,20.0,0.0,12.0,12.0,1.0,0.0,2.0,0.0,120.0,100.0,100.0,0.0,100.0
1,96.0,380,7,3.0,120.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,120.0,130.0,120.0,0.0,120.0
1,96.0,220,14,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,46,7,0.0,120.0,0.0,20.0,12.0,11.5,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,226,6,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,1.0,120.0,140.0,140.0,0.0,140.0
1,96.0,42,9,2.0,120.0,20.0,0.0,12.0,12.0,1.0,0.0,3.0,0.0,120.0,90.0,100.0,0.0,100.0
1,96.0,250,5,0.0,120.0,0.0,20.0,12.0,11.5,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,30,7,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,167,6,2.0,120.0,80.0,0.0,12.0,12.0,4.0,0.0,6.0,0.0,120.0,60.0,40.0,0.0,40.0
1,96.0,402,10,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,453,8,3.0,120.0,60.0,0.0,12.0,12.0,3.0,0.0,7.0,0.0,120.0,50.0,60.0,0.0,60.0
1,96.0,70,3,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,0.0
1,96.0,48,7,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,80,9,0.0,120.0,0.0,20.0,12.0,12.0,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,218,10,3.0,120.0,80.0,0.0,12.0,12.0,4.0,0.0,8.0,0.0,120.0,40.0,40.0,0.0,40.0
1,96.0,43,11,0.0,120.0,0.0,20.0,12.0,11.75,0.0,1.0,0.0,2.0,120.0,140.0,140.0,0.0,140.0
1,96.0,315,11,1.0,120.0,80.0,0.0,12.0,12.0,4.0,0.0,5.0,0.0,120.0,70.0,40.0,0.0,40.0
